Renal_ID,Renal_Category,eGFR_Min,eGFR_Max,Dose_Recommendation,Clinical_Note,Dialysis,Evidence_Level,Primary_Reference,Status,Generic_ID,created_at,updated_at,version
REN000014,Mild,60,89,No dose adjustment required,Safe at standard doses,No,High,Lexicomp,Active,GEN000001,2026-07-11 16:36:17,2026-07-11 16:36:17,1.0
REN000015,Moderate,30,59,Reduce maximum daily dose to 1000 mg,Monitor renal function regularly,No,High,ADA Guidelines,Active,GEN000002,2026-07-11 16:36:17,2026-07-11 16:36:17,1.0
REN000016,Severe,15,29,Use with caution,Monitor for bleeding and renal toxicity,No,Moderate,BNF,Active,GEN000003,2026-07-11 16:36:17,2026-07-11 16:36:17,1.0
REN000017,Moderate,30,59,Start with a lower dose and titrate slowly,Monitor serum creatinine and potassium,No,High,KDIGO,Active,GEN000004,2026-07-11 16:36:17,2026-07-11 16:36:17,1.0
REN000018,Mild,60,89,No dose adjustment required,No renal dose adjustment needed,No,High,Lexicomp,Active,GEN000005,2026-07-11 16:36:17,2026-07-11 16:36:17,1.0
REN000019,Severe,15,29,No dose adjustment required,Monitor for muscle toxicity,No,Moderate,Lexicomp,Active,GEN000006,2026-07-11 16:36:17,2026-07-11 16:36:17,1.0
REN000020,Severe,15,29,No dose adjustment required,No adjustment generally required,No,High,BNF,Active,GEN000007,2026-07-11 16:36:17,2026-07-11 16:36:17,1.0
REN000021,Moderate,30,59,Reduce dose or extend dosing interval,Adjust based on infection severity,No,High,Lexicomp,Active,GEN000008,2026-07-11 16:36:17,2026-07-11 16:36:17,1.0
REN000022,Severe,15,29,Reduce daily dose by 50 percent,Monitor therapeutic response,No,High,Lexicomp,Active,GEN000009,2026-07-11 16:36:17,2026-07-11 16:36:17,1.0
REN000023,Moderate,30,59,Reduce dose according to creatinine clearance,Dose depends on renal function,No,High,Prescribing Information,Active,GEN000010,2026-07-11 16:36:17,2026-07-11 16:36:17,1.0
REN000024,Severe,15,29,Avoid prolonged use,NSAIDs may worsen renal impairment,No,Moderate,BNF,Active,GEN000011,2026-07-11 16:36:17,2026-07-11 16:36:17,1.0
REN000025,Severe,15,29,Avoid if possible,Diclofenac may increase renal injury risk,No,Moderate,BNF,Active,GEN000012,2026-07-11 16:36:17,2026-07-11 16:36:17,1.0
REN000026,Moderate,30,59,Start at lower dose and monitor BP and creatinine,Monitor potassium and renal function,No,High,KDIGO,Active,GEN000013,2026-07-11 16:36:17,2026-07-11 16:36:17,1.0
