Pharmacological_Class_ID,Pharmacological_Class_Name,Mechanism_of_Action,Parent_Class_ID,Reference_Source,created_at,updated_at,source,version,Status
PHR000001,Analgesics,Reduce pain perception,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
PHR000002,Biguanides,Reduce hepatic glucose production and improve insulin sensitivity,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
PHR000003,Antiplatelet Agents,Inhibit platelet aggregation,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
PHR000004,ACE Inhibitors,Inhibit angiotensin-converting enzyme,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
PHR000005,Proton Pump Inhibitors,Suppress gastric acid secretion by inhibiting the proton pump,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
PHR000006,HMG-CoA Reductase Inhibitors,Reduce cholesterol synthesis by inhibiting HMG-CoA reductase,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
PHR000007,Calcium Channel Blockers,Block L-type calcium channels causing vasodilation,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
PHR000008,Penicillin Antibiotics,Inhibit bacterial cell wall synthesis,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
PHR000009,Cephalosporin Antibiotics,Inhibit bacterial cell wall synthesis,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
PHR000010,GABA Analogues,Modulate calcium channels to reduce neurotransmitter release,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
PHR000011,NSAID Combination Therapy,Provide analgesic and anti-inflammatory effects through multiple mechanisms,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
PHR000012,Muscle Relaxant Combination Therapy,Provide muscle relaxation with analgesic and anti-inflammatory effects,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
PHR000013,Antihypertensive Combination Therapy,Lower blood pressure through complementary mechanisms,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
