Generic_Name,Generic_Type,Ingredients,Catalog_Source,Clinical_Source,Status,Reference
Paracetamol,Single,Paracetamol,PMBJK Catalogue,CDSCO,Active,WHO INN
Metformin,Single,Metformin,PMBJK Catalogue,CDSCO,Active,WHO INN
Aspirin,Single,Aspirin,PMBJK Catalogue,CDSCO,Active,WHO INN
Ramipril,Single,Ramipril,PMBJK Catalogue,CDSCO,Active,WHO INN
Pantoprazole,Single,Pantoprazole,PMBJK Catalogue,CDSCO,Active,WHO INN
Atorvastatin,Single,Atorvastatin,PMBJK Catalogue,CDSCO,Active,WHO INN
Amlodipine,Single,Amlodipine,PMBJK Catalogue,CDSCO,Active,WHO INN
Amoxicillin,Single,Amoxicillin,PMBJK Catalogue,CDSCO,Active,WHO INN
Cefixime,Single,Cefixime,PMBJK Catalogue,CDSCO,Active,WHO INN
Pregabalin,Single,Pregabalin,PMBJK Catalogue,CDSCO,Active,WHO INN
Aceclofenac + Paracetamol,Combination,Aceclofenac;Paracetamol,PMBJK Catalogue,CDSCO,Active,WHO INN
Chlorzoxazone + Diclofenac + Paracetamol,Combination,Chlorzoxazone;Diclofenac;Paracetamol,PMBJK Catalogue,CDSCO,Active,WHO INN
Telmisartan + Amlodipine,Combination,Telmisartan;Amlodipine,PMBJK Catalogue,CDSCO,Active,WHO INN
