Interaction_ID,Generic_A,Generic_B,Severity,Mechanism,Clinical_Effect,Management,Evidence_Level,Primary_Reference,Status,created_at,updated_at,version
INT000001,Aspirin,Ramipril,Moderate,Pharmacodynamic,NSAIDs may reduce the antihypertensive effect of ACE inhibitors and increase the risk of renal impairment,Monitor blood pressure and renal function; use the lowest effective NSAID dose,High,Lexicomp,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000002,Aceclofenac + Paracetamol,Aspirin,Major,Pharmacodynamic,Increased risk of gastrointestinal bleeding and ulceration,Avoid routine combination; if unavoidable consider gastroprotection and monitor for bleeding,High,Lexicomp,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000003,Aceclofenac + Paracetamol,Ramipril,Major,Pharmacodynamic,NSAIDs may reduce ACE inhibitor efficacy and increase the risk of acute kidney injury,Monitor renal function blood pressure and hydration; avoid prolonged combined use,High,Lexicomp,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000004,Ramipril,Telmisartan + Amlodipine,Major,Pharmacodynamic,Dual renin-angiotensin system blockade increases the risk of hypotension hyperkalemia and renal impairment,Avoid dual RAS blockade unless specifically indicated; monitor renal function and potassium closely,High,FDA,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000005,Aspirin,Telmisartan + Amlodipine,Moderate,Pharmacodynamic,NSAIDs may reduce antihypertensive effect and increase renal risk,Monitor blood pressure and kidney function,Moderate,BNF,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000006,Amlodipine,Atorvastatin,Moderate,Pharmacokinetic,Amlodipine may increase atorvastatin exposure leading to higher myopathy risk,Use recommended atorvastatin doses and monitor for muscle symptoms,Moderate,Lexicomp,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000007,Amlodipine,Pregabalin,Moderate,Pharmacodynamic,May increase dizziness somnolence and fall risk,Monitor CNS effects especially in elderly patients,Moderate,BNF,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000008,Aspirin,Pantoprazole,Minor,Pharmacodynamic,Pantoprazole reduces aspirin-associated gastrointestinal irritation,Combination is generally appropriate in patients at GI risk,High,WHO,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000009,Aspirin,Paracetamol,Minor,Pharmacodynamic,Usually no clinically significant interaction at therapeutic doses,Use as prescribed and monitor total analgesic use,High,WHO,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
INT000010,Metformin,Pregabalin,Minor,Unknown,No clinically significant interaction is generally expected,Routine monitoring only,Low,Micromedex,Active,2026-07-12 09:53:20.963476,2026-07-12 09:53:20.963476,1.0
