Contraindication_ID,Generic_Name,Contraindication,Severity,Reason,Recommendation,Primary_Reference,Evidence_Level,Status,created_at,updated_at,version
CNT000001,,Active gastrointestinal bleeding,Contraindicated,,Avoid,,High,Active,2026-07-06T11:45:00Z,2026-07-06T11:45:00Z,1.0.0
CNT000002,,Severe renal impairment,Major,,Dose Adjustment,,High,Active,2026-07-06T11:45:00Z,2026-07-06T11:45:00Z,1.0.0
CNT000003,,History of hypersensitivity to NSAIDs,Contraindicated,,Avoid,,High,Active,2026-07-06T11:45:00Z,2026-07-06T11:45:00Z,1.0.0
CNT000004,,History of asthma,Moderate,,Monitor,,Moderate,Active,2026-07-06T11:45:00Z,2026-07-06T11:45:00Z,1.0.0
CON000001,Ramipril,History of angioedema,Absolute,High risk of recurrent angioedema,Do not prescribe,BNF,High,Active,2026-07-10T20:45:23.241445,2026-07-10T20:45:23.241445,1.0
CON000002,Ramipril,Pregnancy,Absolute,Fetal toxicity,Use alternative antihypertensive,BNF,High,Active,2026-07-10T20:45:23.241445,2026-07-10T20:45:23.241445,1.0
CON000003,Metformin,eGFR below 30 mL/min,Absolute,Risk of lactic acidosis,Contraindicated,ADA,High,Active,2026-07-10T20:45:23.241445,2026-07-10T20:45:23.241445,1.0
CON000004,Metformin,Metabolic acidosis,Absolute,Risk of worsening acidosis,Do not prescribe,ADA,High,Active,2026-07-10T20:45:23.241445,2026-07-10T20:45:23.241445,1.0
CON000005,Aspirin,Active peptic ulcer,Relative,Increased GI bleeding risk,Use with caution,NICE,Moderate,Active,2026-07-10T20:45:23.241445,2026-07-10T20:45:23.241445,1.0
CON000006,Aspirin,Hemophilia,Absolute,Severe bleeding risk,Avoid use,BNF,High,Active,2026-07-10T20:45:23.241445,2026-07-10T20:45:23.241445,1.0
CON000007,Amoxicillin,Penicillin allergy,Absolute,Severe hypersensitivity risk,Avoid use,BNF,High,Active,2026-07-10T20:45:23.241445,2026-07-10T20:45:23.241445,1.0
CON000008,Pregabalin,Hypersensitivity,Absolute,Allergic reaction risk,Discontinue immediately,BNF,Moderate,Active,2026-07-10T20:45:23.241445,2026-07-10T20:45:23.241445,1.0
CON000009,Pantoprazole,Rilpivirine therapy,Relative,Reduced antiviral absorption,Avoid combination,BNF,Moderate,Active,2026-07-10T20:45:23.241445,2026-07-10T20:45:23.241445,1.0
CON000010,Atorvastatin,Active liver disease,Absolute,Risk of hepatotoxicity,Do not prescribe,BNF,High,Active,2026-07-10T20:45:23.241445,2026-07-10T20:45:23.241445,1.0
