Brand_ID,Brand_Name,Generic_ID,Strength,Dosage_Form,Company_ID,Country,CDSCO_Status,Jan_Aushadhi_Available,Status,Last_Updated
BR000001,Dolo 650,GEN000001,650 mg,Tablet,COM000001,India,Approved,Yes,Active,02-07-2026
BR000002,Crocin 650,GEN000001,650 mg,Tablet,COM000002,India,Approved,Yes,Active,02-07-2026
BR000003,Calpol 650,GEN000001,650 mg,Tablet,COM000003,India,Approved,Yes,Active,02-07-2026
BR000004,Pacimol 650,GEN000001,650 mg,Tablet,COM000004,India,Approved,Yes,Active,02-07-2026
BR000005,Febrinil 650,GEN000001,650 mg,Tablet,COM000005,India,Approved,Yes,Active,02-07-2026
BR000006,Glycomet 500,GEN000002,500 mg,Tablet,COM000006,India,Approved,Yes,Active,02-07-2026
BR000007,Cetapin 500,GEN000002,500 mg,Tablet,COM000007,India,Approved,Yes,Active,02-07-2026
BR000008,Obimet 500,GEN000002,500 mg,Tablet,COM000008,India,Approved,Yes,Active,02-07-2026
BR000009,Pantocid 40,GEN000004,40 mg,Tablet,COM000009,India,Approved,Yes,Active,02-07-2026
BR000010,Pantodac 40,GEN000004,40 mg,Tablet,COM000010,India,Approved,Yes,Active,02-07-2026
BR000011,Telma 40,GEN000008,40 mg,Tablet,COM000011,India,Approved,Yes,Active,02-07-2026
BR000012,Telmikind 40,GEN000008,40 mg,Tablet,COM000012,India,Approved,Yes,Active,02-07-2026
BR000013,Amlong 5,GEN000003,5 mg,Tablet,COM000013,India,Approved,Yes,Active,02-07-2026
BR000014,Stamlo 5,GEN000003,5 mg,Tablet,COM000014,India,Approved,Yes,Active,02-07-2026
BR000015,Atorlip 10,GEN000009,10 mg,Tablet,COM000015,India,Approved,Yes,Active,02-07-2026
BR000016,Atorva 10,GEN000009,10 mg,Tablet,COM000016,India,Approved,Yes,Active,02-07-2026
BR000017,Brand 17,GEN000010,,,,India,,,Active,
BR000018,Brand 18,GEN000011,,,,India,,,Active,
BR000019,Brand 19,GEN000012,,,,India,,,Active,
BR000020,Brand 20,GEN000013,,,,India,,,Active,
BR000021,Brand 21,GEN000014,,,,India,,,Active,
BR000022,Brand 22,GEN000015,,,,India,,,Active,
BR000023,Brand 23,GEN000016,,,,India,,,Active,
BR000024,Brand 24,GEN000017,,,,India,,,Active,
BR000025,Brand 25,GEN000018,,,,India,,,Active,
BR000026,Brand 26,GEN000019,,,,India,,,Active,
BR000027,Brand 27,GEN000020,,,,India,,,Active,
BR000028,Brand 28,GEN000021,,,,India,,,Active,
BR000029,Brand 29,GEN000022,,,,India,,,Active,
BR000030,Brand 30,GEN000023,,,,India,,,Active,
BR000031,Brand 31,GEN000024,,,,India,,,Active,
BR000032,Brand 32,GEN000025,,,,India,,,Active,
BR000033,Brand 33,GEN000026,,,,India,,,Active,
BR000034,Brand 34,GEN000027,,,,India,,,Active,
BR000035,Brand 35,GEN000028,,,,India,,,Active,
BR000036,Brand 36,GEN000029,,,,India,,,Active,
BR000037,Brand 37,GEN000030,,,,India,,,Active,
BR000038,Brand 38,GEN000031,,,,India,,,Active,
BR000039,Brand 39,GEN000032,,,,India,,,Active,
BR000040,Brand 40,GEN000033,,,,India,,,Active,
BR000041,Brand 41,GEN000034,,,,India,,,Active,
BR000042,Brand 42,GEN000035,,,,India,,,Active,
BR000043,Brand 43,GEN000036,,,,India,,,Active,
BR000044,Brand 44,GEN000037,,,,India,,,Active,
