Monitoring_ID,Monitoring_Parameter,Monitoring_Frequency,Target_Range,Clinical_Action,Evidence_Level,Primary_Reference,Status,Generic_ID,created_at,updated_at,version
MON000014,Liver Function Test,If prolonged therapy,Within normal limits,Discontinue if significant liver injury suspected,High,Lexicomp,Active,GEN000001,2026-07-11 12:31:31,2026-07-11 12:31:31,1.0
MON000015,eGFR,Every 3-6 months,>=30 mL/min/1.73m2,Reduce dose or discontinue if eGFR falls below threshold,High,ADA Guidelines,Active,GEN000002,2026-07-11 12:31:31,2026-07-11 12:31:31,1.0
MON000016,Signs of Bleeding,At every follow-up,Not Applicable,Stop therapy if major bleeding occurs,High,BNF,Active,GEN000003,2026-07-11 12:31:31,2026-07-11 12:31:31,1.0
MON000017,Serum Creatinine and Potassium,1-2 weeks after initiation,Creatinine stable; Potassium <5.5 mmol/L,Adjust dose if renal function worsens or potassium increases,High,KDIGO,Active,GEN000004,2026-07-11 12:31:31,2026-07-11 12:31:31,1.0
MON000018,Serum Magnesium,Long-term therapy,Within normal limits,Supplement or discontinue if severe hypomagnesemia develops,Moderate,BNF,Active,GEN000005,2026-07-11 12:31:31,2026-07-11 12:31:31,1.0
MON000019,Liver Enzymes,Baseline and if clinically indicated,ALT/AST within normal limits,Discontinue if persistent marked elevation occurs,High,Lexicomp,Active,GEN000006,2026-07-11 12:31:31,2026-07-11 12:31:31,1.0
MON000020,Blood Pressure,Every visit,Individual target BP,Adjust dose according to BP response,High,BNF,Active,GEN000007,2026-07-11 12:31:31,2026-07-11 12:31:31,1.0
MON000021,Hypersensitivity Reaction,During therapy,Not Applicable,Stop immediately if allergic reaction occurs,High,Lexicomp,Active,GEN000008,2026-07-11 12:31:31,2026-07-11 12:31:31,1.0
MON000022,Renal Function,If prolonged therapy,Stable renal function,Adjust dose if renal impairment develops,Moderate,Lexicomp,Active,GEN000009,2026-07-11 12:31:31,2026-07-11 12:31:31,1.0
MON000023,Dizziness and Sedation,Every visit,Tolerable symptoms,Reduce dose if adverse effects are significant,Moderate,Prescribing Information,Active,GEN000010,2026-07-11 12:31:31,2026-07-11 12:31:31,1.0
MON000024,Renal and Liver Function,Periodic monitoring,Within normal limits,Discontinue if organ toxicity develops,High,BNF,Active,GEN000011,2026-07-11 12:31:31,2026-07-11 12:31:31,1.0
MON000025,Liver Function Test,Periodic monitoring,Within normal limits,Stop therapy if liver injury suspected,High,BNF,Active,GEN000012,2026-07-11 12:31:31,2026-07-11 12:31:31,1.0
MON000026,Blood Pressure and Serum Potassium,Every 2-4 weeks after initiation,Target BP; Potassium <5.5 mmol/L,Adjust therapy according to BP and potassium,High,KDIGO,Active,GEN000013,2026-07-11 12:31:31,2026-07-11 12:31:31,1.0
