Contraindication_ID,Generic_Name,Contraindication,Severity,Reason,Recommendation,Primary_Reference,Evidence_Level,Status,created_at,updated_at,version
CON000001,Ramipril,History of angioedema,Absolute,High risk of recurrent angioedema,Do not prescribe,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000002,Ramipril,Pregnancy,Absolute,Fetal toxicity,Use alternative antihypertensive,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000003,Metformin,eGFR below 30 mL/min,Absolute,Risk of lactic acidosis,Contraindicated,ADA,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000004,Metformin,Metabolic acidosis,Absolute,Risk of worsening acidosis,Do not prescribe,ADA,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000005,Aspirin,Active peptic ulcer,Relative,Increased GI bleeding risk,Use with caution,NICE,Moderate,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000006,Aspirin,Hemophilia,Absolute,Severe bleeding risk,Avoid use,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000007,Amoxicillin,Penicillin allergy,Absolute,Severe hypersensitivity risk,Avoid use,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000008,Pregabalin,Hypersensitivity,Absolute,Allergic reaction risk,Discontinue immediately,BNF,Moderate,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000009,Pantoprazole,Rilpivirine therapy,Relative,Reduced antiviral absorption,Avoid combination,BNF,Moderate,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000010,Atorvastatin,Active liver disease,Absolute,Risk of hepatotoxicity,Do not prescribe,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000011,Amlodipine,Hypersensitivity to Amlodipine,Critical,Known allergy to amlodipine or formulation components,Do not administer amlodipine; use an alternative antihypertensive,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000012,Amlodipine,Severe Hypotension,Major,May worsen existing severe hypotension,Avoid use until blood pressure is stabilized,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000013,Amlodipine,Cardiogenic Shock,Critical,Vasodilation may further reduce cardiac output,Contraindicated in cardiogenic shock,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000014,Amlodipine,Hemodynamically Unstable Heart Failure,Major,May aggravate unstable cardiac status,Use only under specialist supervision if absolutely necessary,BNF,Moderate,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000015,Amlodipine,Severe Aortic Stenosis,Major,Peripheral vasodilation may compromise coronary perfusion,Use with extreme caution or avoid,BNF,Moderate,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000016,Cefixime,Hypersensitivity to Cefixime,Critical,Known allergy to cefixime or other cephalosporins,Do not administer cefixime; use an alternative antibiotic,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000017,Cefixime,Severe Cephalosporin Allergy,Critical,Risk of life-threatening allergic reaction,Avoid cefixime completely,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000018,Cefixime,History of Anaphylaxis to Beta-lactam Antibiotics,Critical,Cross-reactivity may occur,Use only if no safer alternative is available under specialist supervision,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000019,Cefixime,Previous Cefixime-induced Stevens-Johnson Syndrome,Critical,Risk of recurrence with re-exposure,Permanently avoid cefixime,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000020,Cefixime,Previous Toxic Epidermal Necrolysis due to Cefixime,Critical,Risk of severe recurrent cutaneous adverse reaction,Do not re-administer cefixime,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000021,Aceclofenac + Paracetamol,Hypersensitivity to Aceclofenac or Paracetamol,Critical,Known allergy to aceclofenac paracetamol or formulation components,Do not administer this combination; use an alternative analgesic,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000022,Aceclofenac + Paracetamol,Active Peptic Ulcer Disease,Critical,NSAID component increases the risk of gastrointestinal bleeding and ulcer perforation,Avoid use until ulcer is healed,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000023,Aceclofenac + Paracetamol,History of NSAID-induced Gastrointestinal Bleeding,Critical,High risk of recurrent gastrointestinal bleeding,Contraindicated; select a safer alternative,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000024,Aceclofenac + Paracetamol,Severe Hepatic Impairment,Major,Reduced metabolism increases risk of hepatotoxicity,Avoid use in severe liver disease,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000025,Aceclofenac + Paracetamol,Severe Heart Failure,Major,NSAIDs may worsen heart failure and fluid retention,Avoid use; consider an alternative analgesic,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000026,Chlorzoxazone + Diclofenac + Paracetamol,Hypersensitivity to Chlorzoxazone Diclofenac or Paracetamol,Critical,Known allergy to any component of the combination,Do not administer this combination; use an alternative therapy,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000027,Chlorzoxazone + Diclofenac + Paracetamol,Active Peptic Ulcer Disease,Critical,Diclofenac increases the risk of gastrointestinal bleeding and ulcer perforation,Avoid use until ulcer is healed,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000028,Chlorzoxazone + Diclofenac + Paracetamol,History of NSAID-induced Gastrointestinal Bleeding,Critical,High risk of recurrent gastrointestinal bleeding,Contraindicated; select a safer alternative,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000029,Chlorzoxazone + Diclofenac + Paracetamol,Severe Hepatic Impairment,Critical,Chlorzoxazone and paracetamol may significantly increase the risk of hepatotoxicity,Avoid use in severe liver disease,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000030,Chlorzoxazone + Diclofenac + Paracetamol,Severe Heart Failure,Major,NSAID component may worsen heart failure and cause fluid retention,Avoid use; consider an alternative analgesic or muscle relaxant,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000031,Telmisartan + Amlodipine,Hypersensitivity to Telmisartan or Amlodipine,Critical,Known allergy to telmisartan amlodipine or formulation components,Do not administer this combination; use an alternative antihypertensive,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000032,Telmisartan + Amlodipine,Pregnancy,Critical,Drugs affecting the renin-angiotensin system can cause fetal injury and death,Discontinue immediately when pregnancy is detected and switch to a safer alternative,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000033,Telmisartan + Amlodipine,Severe Hypotension,Major,May further reduce blood pressure causing hemodynamic instability,Avoid use until blood pressure is stabilized,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
CON000034,Telmisartan + Amlodipine,Biliary Obstructive Disorders,Major,Telmisartan is primarily eliminated via the biliary route,Avoid use in severe biliary obstruction or cholestasis,BNF,High,Active,2026-07-12 09:42:14.010198,2026-07-12 09:42:14.010198,1.0
