Therapeutic_Class_Name,Description,WHO_Reference,Status
Analgesics and Antipyretics,Pain relief and fever reduction,WHO ATC,Active
Antidiabetic Agents,Medicines used to lower blood glucose,WHO ATC,Active
Antithrombotic Agents,Medicines that reduce blood clot formation,WHO ATC,Active
ACE Inhibitors,Medicines used for hypertension and heart failure,WHO ATC,Active
Proton Pump Inhibitors,Medicines used for acid-related disorders,WHO ATC,Active
Lipid Lowering Agents,Medicines used to reduce cholesterol levels,WHO ATC,Active
Calcium Channel Blockers,Medicines used for hypertension and angina,WHO ATC,Active
Penicillin Antibiotics,Beta-lactam antibacterial agents,WHO ATC,Active
Cephalosporin Antibiotics,Third-generation cephalosporin antibacterial agents,WHO ATC,Active
Antiepileptic Agents,Medicines used for epilepsy and neuropathic pain,WHO ATC,Active
NSAID Combination Analgesics,Combination anti-inflammatory and analgesic medicines,WHO ATC,Active
Muscle Relaxant Combinations,Combination medicines for muscle spasm relief,WHO ATC,Active
ARB Combination Antihypertensives,Combination antihypertensive medicines containing ARBs,WHO ATC,Active
