Product_ID,Brand_ID,Generic_ID,Company_ID,Strength,Unit_Size,MRP,Status
PROD000001,BRD000001,GEN000001,COMP000001,Standard,10's,10.32,Active
PROD000002,BRD000002,GEN000002,COMP000001,Standard,10's,8.25,Active
PROD000003,BRD000003,GEN000003,COMP000001,Standard,10's,22.69,Active
PROD000004,BRD000005,GEN000005,COMP000001,Standard,14's,5.16,Active
PROD000005,BRD000006,GEN000006,COMP000001,Standard,10's,25.78,Active
PROD000006,BRD000007,GEN000007,COMP000001,Standard,15 g,12.38,Active
PROD000007,BRD000008,GEN000008,COMP000001,Standard,10's,15.88,Active
PROD000008,BRD000009,GEN000009,COMP000001,Standard,10's,12.47,Active
PROD000009,BRD000010,GEN000010,COMP000001,Standard,3 ml,3.75,Active
PROD000010,BRD000011,GEN000011,COMP000001,Standard,10's,5.68,Active
PROD000011,BRD000012,GEN000012,COMP000001,Standard,10's,35.63,Active
PROD000012,BRD000013,GEN000013,COMP000001,Standard,10's,31.97,Active
PROD000013,BRD000014,GEN000014,COMP000001,Standard,10's,8.25,Active
PROD000014,BRD000015,GEN000015,COMP000001,Standard,10's,2.81,Active
PROD000015,BRD000016,GEN000016,COMP000001,Standard,15's,9.08,Active
PROD000016,BRD000017,GEN000017,COMP000001,Standard,10's,12.19,Active
PROD000017,BRD000018,GEN000018,COMP000001,Standard,6's,42.19,Active
PROD000018,BRD000019,GEN000019,COMP000001,Standard,10's,11.34,Active
PROD000019,BRD000020,GEN000020,COMP000001,Standard,10's,6.81,Active
PROD000020,BRD000021,GEN000021,COMP000001,Standard,10's,10.21,Active
PROD000021,BRD000022,GEN000022,COMP000001,Standard,60 ml,11.34,Active
PROD000022,BRD000023,GEN000023,COMP000001,Standard,10's,6.56,Active
PROD000023,BRD000024,GEN000024,COMP000001,Standard,1 ml,14.06,Active
PROD000024,BRD000025,GEN000025,COMP000001,Standard,10's,12.47,Active
PROD000025,BRD000026,GEN000026,COMP000001,Standard,2 ml,7.5,Active
PROD000026,BRD000027,GEN000027,COMP000001,Standard,1 ml,4.69,Active
PROD000027,BRD000028,GEN000028,COMP000001,Standard,10's,8.25,Active
PROD000028,BRD000029,GEN000029,COMP000001,Standard,10's,41.25,Active
PROD000029,BRD000030,GEN000030,COMP000001,Standard,2 ml Vial,12.0,Active
PROD000030,BRD000031,GEN000031,COMP000001,Standard,2 ml Vial,20.0,Active
PROD000031,BRD000032,GEN000032,COMP000001,Standard,2 ml Vial,27.19,Active
PROD000032,BRD000034,GEN000034,COMP000001,Standard,15's,27.23,Active
PROD000033,BRD000035,GEN000035,COMP000001,Standard,Vial & Wfi,54.38,Active
PROD000034,BRD000036,GEN000036,COMP000001,Standard,30 ml,25.31,Active
PROD000035,BRD000037,GEN000037,COMP000001,Standard,Vial & Wfi,26.25,Active
PROD000036,BRD000038,GEN000038,COMP000001,Standard,Vial & Wfi,37.5,Active
PROD000037,BRD000039,GEN000039,COMP000001,Standard,6's,57.85,Active
PROD000038,BRD000040,GEN000040,COMP000001,Standard,10's,29.91,Active
PROD000039,BRD000042,GEN000042,COMP000001,Standard,10's,11.25,Active
PROD000040,BRD000043,GEN000043,COMP000001,Standard,60 ml,17.81,Active
PROD000041,BRD000044,GEN000044,COMP000001,Standard,10's,13.13,Active
PROD000042,BRD000045,GEN000045,COMP000001,Standard,10's,36.09,Active
PROD000043,BRD000046,GEN000046,COMP000001,Standard,Vial,7.22,Active
PROD000044,BRD000047,GEN000047,COMP000001,Standard,15 ml,14.06,Active
PROD000045,BRD000048,GEN000048,COMP000001,Standard,10's,25.31,Active
PROD000046,BRD000051,GEN000051,COMP000001,Standard,10's,17.53,Active
PROD000047,BRD000052,GEN000052,COMP000001,Standard,10's,22.69,Active
PROD000048,BRD000053,GEN000053,COMP000001,Standard,30 ml,18.75,Active
PROD000049,BRD000054,GEN000054,COMP000001,Standard,10's,28.88,Active
PROD000050,BRD000055,GEN000055,COMP000001,Standard,10's,52.55,Active
PROD000051,BRD000056,GEN000056,COMP000001,Standard,Vial & Wfi,82.5,Active
PROD000052,BRD000057,GEN000057,COMP000001,Standard,Vial & Wfi,46.88,Active
PROD000053,BRD000058,GEN000058,COMP000001,Standard,Vial & Wfi,43.13,Active
PROD000054,BRD000059,GEN000059,COMP000001,Standard,Vial & Wfi,26.25,Active
PROD000055,BRD000060,GEN000060,COMP000001,Standard,Vial & Wfi,11.34,Active
PROD000056,BRD000061,GEN000061,COMP000001,Standard,Vial & Wfi,17.81,Active
PROD000057,BRD000062,GEN000062,COMP000001,Standard,Vial & Wfi,17.81,Active
PROD000058,BRD000063,GEN000063,COMP000001,Standard,Vial & Wfi,9.38,Active
PROD000059,BRD000064,GEN000064,COMP000001,Standard,Vial & Wfi,11.25,Active
PROD000060,BRD000065,GEN000065,COMP000001,Standard,10's,37.5,Active
PROD000061,BRD000066,GEN000066,COMP000001,Standard,10's,72.19,Active
PROD000062,BRD000067,GEN000067,COMP000001,Standard,Vial & Wfi,75.0,Active
PROD000063,BRD000068,GEN000068,COMP000001,Standard,Vial & Wfi,28.13,Active
PROD000064,BRD000069,GEN000069,COMP000001,Standard,Vial & Wfi,46.88,Active
PROD000065,BRD000070,GEN000070,COMP000001,Standard,Vial & Wfi,45.0,Active
PROD000066,BRD000071,GEN000071,COMP000001,Standard,Vial & Wfi,45.0,Active
PROD000067,BRD000072,GEN000072,COMP000001,Standard,3's,39.38,Active
PROD000068,BRD000073,GEN000073,COMP000001,Standard,Vial & Wfi,15.94,Active
PROD000069,BRD000074,GEN000074,COMP000001,Standard,Vial & Wfi,32.81,Active
PROD000070,BRD000075,GEN000075,COMP000001,Standard,Vial & Wfi,28.88,Active
PROD000071,BRD000076,GEN000076,COMP000001,Standard,Vial & Wfi,12.19,Active
PROD000072,BRD000077,GEN000077,COMP000001,Standard,Vial & Wfi,22.5,Active
PROD000073,BRD000078,GEN000078,COMP000001,Standard,10's,70.31,Active
PROD000074,BRD000079,GEN000079,COMP000001,Standard,10's,146.44,Active
PROD000075,BRD000080,GEN000080,COMP000001,Standard,10's,19.69,Active
PROD000076,BRD000081,GEN000081,COMP000001,Standard,10's,30.94,Active
PROD000077,BRD000082,GEN000082,COMP000001,Standard,10's,46.88,Active
PROD000078,BRD000083,GEN000083,COMP000001,Standard,10's,26.25,Active
PROD000079,BRD000084,GEN000084,COMP000001,Standard,10's,36.56,Active
PROD000080,BRD000085,GEN000085,COMP000001,Standard,10's,10.31,Active
PROD000081,BRD000086,GEN000086,COMP000001,Standard,10's,20.63,Active
PROD000082,BRD000087,GEN000087,COMP000001,Standard,15 g tubes,15.88,Active
PROD000083,BRD000088,GEN000088,COMP000001,Standard,50 ml,14.06,Active
PROD000084,BRD000089,GEN000089,COMP000001,Standard,10's,11.34,Active
PROD000085,BRD000090,GEN000090,COMP000001,Standard,10's,2.06,Active
PROD000086,BRD000092,GEN000092,COMP000001,Standard,10's,15.88,Active
PROD000087,BRD000093,GEN000093,COMP000001,Standard,10's,19.59,Active
PROD000088,BRD000094,GEN000094,COMP000001,Standard,2 ml,5.09,Active
PROD000089,BRD000095,GEN000095,COMP000001,Standard,10's,16.88,Active
PROD000090,BRD000096,GEN000096,COMP000001,Standard,10's,34.03,Active
PROD000091,BRD000097,GEN000097,COMP000001,Standard,Vial & Wfi,221.25,Active
PROD000092,BRD000098,GEN000098,COMP000001,Standard,10's,37.5,Active
PROD000093,BRD000099,GEN000099,COMP000001,Standard,10's,19.69,Active
PROD000094,BRD000100,GEN000100,COMP000001,Standard,10's,28.36,Active
PROD000095,BRD000101,GEN000101,COMP000001,Standard,10's,14.44,Active
PROD000096,BRD000102,GEN000102,COMP000001,Standard,10's,32.81,Active
PROD000097,BRD000103,GEN000103,COMP000001,Standard,Vial & Wfi,114.38,Active
PROD000098,BRD000105,GEN000105,COMP000001,Standard,10's,26.25,Active
PROD000099,BRD000106,GEN000106,COMP000001,Standard,10's,46.88,Active
PROD000100,BRD000107,GEN000107,COMP000001,Standard,10's,12.19,Active
PROD000101,BRD000108,GEN000108,COMP000001,Standard,10's,15.0,Active
