Contraindication_ID,Generic_Name,Contraindication,Severity,Reason,Recommendation,Primary_Reference,Evidence_Level,Status,created_at,updated_at,version
,Ramipril,History of angioedema,Absolute,High risk of recurrent angioedema,Do not prescribe,BNF,High,Active,2026-07-10T21:41:54.950505,2026-07-10T21:41:54.950505,1.0
,Ramipril,Pregnancy,Absolute,Fetal toxicity,Use alternative antihypertensive,BNF,High,Active,2026-07-10T21:41:54.950505,2026-07-10T21:41:54.950505,1.0
,Metformin,eGFR below 30 mL/min,Absolute,Risk of lactic acidosis,Contraindicated,ADA,High,Active,2026-07-10T21:41:54.950505,2026-07-10T21:41:54.950505,1.0
,Metformin,Metabolic acidosis,Absolute,Risk of worsening acidosis,Do not prescribe,ADA,High,Active,2026-07-10T21:41:54.950505,2026-07-10T21:41:54.950505,1.0
,Aspirin,Active peptic ulcer,Relative,Increased GI bleeding risk,Use with caution,NICE,Moderate,Active,2026-07-10T21:41:54.950505,2026-07-10T21:41:54.950505,1.0
,Aspirin,Hemophilia,Absolute,Severe bleeding risk,Avoid use,BNF,High,Active,2026-07-10T21:41:54.950505,2026-07-10T21:41:54.950505,1.0
,Amoxicillin,Penicillin allergy,Absolute,Severe hypersensitivity risk,Avoid use,BNF,High,Active,2026-07-10T21:41:54.950505,2026-07-10T21:41:54.950505,1.0
,Pregabalin,Hypersensitivity,Absolute,Allergic reaction risk,Discontinue immediately,BNF,Moderate,Active,2026-07-10T21:41:54.950505,2026-07-10T21:41:54.950505,1.0
,Pantoprazole,Rilpivirine therapy,Relative,Reduced antiviral absorption,Avoid combination,BNF,Moderate,Active,2026-07-10T21:41:54.950505,2026-07-10T21:41:54.950505,1.0
,Atorvastatin,Active liver disease,Absolute,Risk of hepatotoxicity,Do not prescribe,BNF,High,Active,2026-07-10T21:41:54.950505,2026-07-10T21:41:54.950505,1.0
