SideEffect_ID,Generic_Name,Side_Effect,Frequency,Severity,Action,Patient_Counseling,Evidence_Level,Primary_Reference,Status,created_at,updated_at,version
SEF000001,Paracetamol,Nausea,Rare,Mild,Monitor,Usually mild and temporary; consult a doctor if persistent.,High,BNF,Active,2026-07-11 16:16:54.035933,2026-07-11 16:16:54.035933,1.0
SEF000002,Paracetamol,Vomiting,Rare,Mild,Monitor,Maintain hydration and consult a doctor if symptoms persist.,High,BNF,Active,2026-07-11 16:16:54.035933,2026-07-11 16:16:54.035933,1.0
SEF000003,Paracetamol,Skin Rash,Rare,Moderate,Consult Doctor,Stop medicine and seek medical advice if rash develops.,High,BNF,Active,2026-07-11 16:16:54.035933,2026-07-11 16:16:54.035933,1.0
SEF000004,Paracetamol,Urticaria,Rare,Moderate,Consult Doctor,Discontinue medicine and consult a doctor immediately.,High,BNF,Active,2026-07-11 16:16:54.035933,2026-07-11 16:16:54.035933,1.0
SEF000005,Paracetamol,Pruritus,Rare,Mild,Monitor,Report persistent itching to your healthcare provider.,Moderate,BNF,Active,2026-07-11 16:16:54.035933,2026-07-11 16:16:54.035933,1.0
SEF000006,Paracetamol,Anaphylaxis,Very Rare,Life-threatening,Emergency,Seek immediate emergency medical care.,High,FDA Label,Active,2026-07-11 16:16:54.035933,2026-07-11 16:16:54.035933,1.0
SEF000007,Paracetamol,Stevens-Johnson Syndrome,Very Rare,Life-threatening,Emergency,Stop medicine immediately and seek emergency care.,High,SmPC,Active,2026-07-11 16:16:54.035933,2026-07-11 16:16:54.035933,1.0
SEF000008,Paracetamol,Toxic Epidermal Necrolysis,Very Rare,Life-threatening,Emergency,Immediate hospitalization is required.,High,SmPC,Active,2026-07-11 16:16:54.035933,2026-07-11 16:16:54.035933,1.0
SEF000009,Paracetamol,Elevated Liver Enzymes,Rare,Moderate,Consult Doctor,Liver function monitoring may be required in susceptible patients.,Moderate,SmPC,Active,2026-07-11 16:16:54.035933,2026-07-11 16:16:54.035933,1.0
SEF000010,Paracetamol,Hepatotoxicity,Not Known,Severe,Emergency,Overdose requires immediate emergency treatment.,High,FDA Label,Active,2026-07-11 16:16:54.035933,2026-07-11 16:16:54.035933,1.0
SEF000011,Metformin,Diarrhoea,Very Common,Mild,Monitor,Usually occurs at the start of treatment and often improves with time. Take with meals.,High,SmPC,Active,2026-07-11 16:16:54.035933,2026-07-11 16:16:54.035933,1.0
