Therapeutic_Class_ID,Therapeutic_Class_Name,Therapeutic_Category,Description,Parent_Class_ID,Reference_Source,created_at,updated_at,source,version,Status
THR000001,Pain Management,Analgesics,Used for the relief of pain,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
THR000002,Diabetes Management,Antidiabetics,Used for the treatment of type 2 diabetes mellitus,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
THR000003,Cardiovascular Protection,Antithrombotics,Used to reduce platelet aggregation and prevent thrombotic events,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
THR000004,Hypertension Management,Antihypertensives,Used for the treatment of hypertension,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
THR000005,Acid Suppression Therapy,Gastroenterology,Used for acid-related gastrointestinal disorders,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
THR000006,Lipid Management,Antihyperlipidemics,Used to reduce elevated cholesterol levels,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
THR000007,Antibacterial Therapy,Antibiotics,Used for the treatment of bacterial infections,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
THR000008,Neuropathic Pain Management,Neurology,Used for neuropathic pain and seizure disorders,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
THR000009,Anti-inflammatory Therapy,Musculoskeletal Disorders,Used to reduce inflammation and pain,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
THR000010,Muscle Spasm Management,Musculoskeletal Disorders,Used for the treatment of painful muscle spasms,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
THR000011,Combination Pain Therapy,Analgesics,Combination therapy for pain and inflammation,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
THR000012,Combination Antihypertensive Therapy,Cardiovascular,Combination therapy for hypertension management,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active
THR000013,Gastrointestinal Protection,Gastroenterology,Therapeutic management of acid peptic disorders,,WHO ATC,2026-07-09T16:30:00,2026-07-09T16:30:00,WHO,1.0,Active

